Address(Hex)      Word Data(Hex)
------------      --------------
0x10000000        0x12345000
0x10000004        0x00000000
0x10000008        0xfffff000
0x1000000c        0x55555000
0x10000010        0x00001000
0x10000014        0x80000000
0x10000018        0x12345678
0x1000001c        0xfffff0ff
0x10000020        0xdeadbbef
0x10000024        0x20000000
0x10000028        0x30004000
0x1000002c        0x00064000
0x10000030        0x001f4000
0x10000034        0x00001000
0x10000038        0x00123000
0x1000003c        0x12345678
0x10000040        0x2345f0ff
0x10000044        0x12346000
0x10000048        0x12345000
0x1000004c        0x00000000
0x10000050        0xfffff000
0x10000054        0x55555000
0x10000058        0x00001000
0x1000005c        0x80000000
0x10000060        0x12345678
0x10000064        0xfffff0ff
0x10000068        0xdeadbbef
0x1000006c        0x20000000
0x10000070        0x30004000
0x10000074        0x00064000
0x10000078        0x001f4000
0x1000007c        0x00001000
0x10000080        0x00123000
0x10000084        0x12345678
0x10000088        0x2345f0ff
0x1000008c        0x12346000
0x10000090        0x12345000
0x10000094        0x00000000
0x10000098        0x12345678
0x1000009c        0x00000000
0x100000a0        0xeadbe0ef
0x100000a4        0x00000000
0x100000a8        0x00000000
0x100000ac        0x00000000
0x100000b0        0x00000000
0x100000b4        0x00000000
0x100000b8        0x00000000
0x100000bc        0x00000000
0x100000c0        0x00000000
0x100000c4        0x00000000
0x100000c8        0x00000000
0x100000cc        0x00000000
0x100000d0        0x00000000
0x100000d4        0x00000000
0x100000d8        0x00000000
0x100000dc        0x00000000
0x100000e0        0x00000000
0x100000e4        0x00000000
0x100000e8        0x00000000
0x100000ec        0x00000000
0x100000f0        0x00000000
0x100000f4        0x00000000
0x100000f8        0x00000000
0x100000fc        0x00000000
0x10000100        0x00000000
0x10000104        0x00000000
0x10000108        0x00000000
0x1000010c        0x00000000
0x10000110        0x00000000
0x10000114        0x00000000
0x10000118        0x00000000
0x1000011c        0x00000000
0x10000120        0x00000000
0x10000124        0x00000000
0x10000128        0x00000000
0x1000012c        0x00000000
0x10000130        0x00000000
0x10000134        0x00000000
0x10000138        0x00000000
0x1000013c        0x00000000
0x10000140        0x00000000
0x10000144        0x00000000
0x10000148        0x00000000
0x1000014c        0x00000000
0x10000150        0x00000000
0x10000154        0x00000000
0x10000158        0x00000000
0x1000015c        0x00000000
0x10000160        0x00000000
0x10000164        0x00000000
0x10000168        0x00000000
0x1000016c        0x00000000
0x10000170        0x00000000
0x10000174        0x00000000
0x10000178        0x00000000
0x1000017c        0x00000000
0x10000180        0x00000000
0x10000184        0x00000000
0x10000188        0x00000000
0x1000018c        0x00000000
